"","id","y_2011","y_2012","y_2013","y_2014","y_2015"
"1",37081010100,37386,27125,25625,26087,25833
"2",37081010200,30380,21812,20580,21362,20759
"3",37081010300,27950,23860,25250,24310,NA
"4",37081010401,84107,108681,86477,86250,NA
"5",37081010403,70000,53571,68780,75833,76250
"6",37081010404,162083,162708,162125,176528,162250
"7",37081010500,83220,96167,124861,126750,121136
"8",37081010601,63438,69018,48636,52313,56786
"9",37081010602,98173,90278,116196,87143,110750
"10",37081010701,128382,108889,71250,51964,93125
"11",37081010702,71950,73636,74241,107898,93750
"12",37081010800,52059,92500,89750,104286,130536
"13",37081010900,90139,156364,97250,163571,NA
"14",37081011000,14677,17500,12917,14688,26250
"15",37081011101,22770,19736,19205,25158,26000
"16",37081011102,55595,58571,27072,30224,30536
"17",37081011200,12029,13542,23906,24444,23036
"18",37081011300,44028,32143,27232,27662,24375
"19",37081011400,14178,12741,10511,9725,9439
"20",37081011500,13778,14576,19239,25897,25243
"21",37081011601,22350,28459,28707,35870,36141
"22",37081011602,21028,24896,26932,33173,40431
"23",37081011904,26333,26701,28563,31480,32216
"24",37081011905,30250,41724,27287,25570,26350
"25",37081012503,64643,55820,51250,58375,63750
"26",37081012504,35568,33967,38589,37963,39600
"27",37081012505,116250,121548,115156,115469,117857
"28",37081012508,55882,55875,59853,62056,60313
"29",37081012509,84219,71000,96688,100368,101250
"30",37081012510,125078,121983,118611,108750,126250
"31",37081012511,102012,103371,111500,104896,118716
"32",37081012601,29542,27461,24814,27067,26966
"33",37081012604,34124,35417,34375,35234,29922
"34",37081012607,77625,80658,50550,47250,47418
"35",37081012608,20972,21875,23750,21627,22183
"36",37081012609,37222,39706,31864,42692,50073
"37",37081012610,36083,46678,45972,46055,50781
"38",37081012611,26996,22418,21141,22361,24120
"39",37081012612,31161,50000,36891,28194,36002
"40",37081012617,56316,56534,42083,33953,40806
"41",37081012703,37943,26836,43803,43315,61607
"42",37081012704,35159,32978,31058,29205,28108
"43",37081012705,27604,21364,17750,20343,20213
"44",37081012706,29423,27011,21021,20016,12171
"45",37081012707,21524,18214,16979,15278,20000
"46",37081012803,44385,58333,44936,44555,70147
"47",37081012804,39375,36667,34552,32674,33656
"48",37081012805,44722,54750,43727,44000,47700
"49",37081013601,32629,26250,21855,25227,28906
"50",37081013602,39167,41786,37532,33039,25119
"51",37081013700,101979,104423,102500,88594,89643
"52",37081013800,13926,14657,18910,24819,25257
"53",37081013900,7225,9273,11958,10806,12500
"54",37081014000,26373,26215,23941,21216,17163
"55",37081014200,21951,22306,22083,21827,17311
"56",37081014300,11783,10481,8903,12539,14812
"57",37081014406,42917,44242,41917,42012,40931
"58",37081014407,57148,55804,57893,38194,55909
"59",37081014408,27059,26548,23365,24450,28295
"60",37081014409,41603,44491,36944,28581,28656
"61",37081014410,35625,47639,50508,38309,32847
"62",37081014411,45935,46429,36394,37969,33274
"63",37081014412,94688,95139,46250,34227,34074
"64",37081014501,13944,14019,16971,18819,21875
"65",37081014502,28181,26338,27729,25152,25225
"66",37081014503,30625,23679,21504,21700,23850
"67",37081015100,64375,56964,60605,56667,67083
"68",37081015200,71650,71523,65417,60417,64423
"69",37081015300,57139,54875,56641,55851,57028
"70",37081015401,76912,77823,81914,69904,68068
"71",37081015402,36432,28458,26115,27075,22027
"72",37081015500,45841,41635,47785,49016,47782
"73",37081015600,91719,85898,88060,82352,95957
"74",37081015703,54784,62111,62836,60746,62097
"75",37081015704,92829,82260,71639,64344,52411
"76",37081015705,50446,41080,37625,33750,31136
"77",37081015706,82500,100833,110000,114732,132500
"78",37081015707,56827,69412,86064,88704,88424
"79",37081015800,123871,118676,114412,127331,127357
"80",37081015901,71548,73563,74583,87500,95089
"81",37081015902,111983,114231,110781,112180,112778
"82",37081016003,114212,116469,118029,133068,123750
"83",37081016005,118563,125515,127269,128516,97045
"84",37081016006,77826,52708,70278,54413,54769
"85",37081016007,99239,89479,84750,84245,73864
"86",37081016008,102526,101154,96048,95239,97028
"87",37081016009,100833,101384,101806,102951,88750
"88",37081016010,56974,56042,57798,57934,43974
"89",37081016011,54091,40781,42569,47581,41827
"90",37081016101,91250,97692,97417,91583,93676
"91",37081016102,25285,27591,21766,27944,29955
"92",37081016103,37201,38102,40120,37229,36715
"93",37081016201,126181,128578,136161,124693,135694
"94",37081016203,82917,90125,89605,84333,83214
"95",37081016204,85109,97426,98950,97069,105156
"96",37081016205,67114,70333,65960,67286,68699
"97",37081016303,68750,65476,48155,75263,65104
"98",37081016304,99397,100238,106250,111488,117917
"99",37081016305,99583,105735,105625,100696,100858
"100",37081016306,53550,49762,58145,51172,49276
"101",37081016405,35313,48750,44539,44286,43050
"102",37081016406,47464,48618,49295,48600,47768
"103",37081016407,112946,81348,85167,84306,81250
"104",37081016408,150278,148864,113542,116964,120000
"105",37081016409,120938,116429,101528,96000,96250
"106",37081016410,67604,55568,61050,47500,41863
"107",37081016502,89554,91536,104063,103929,105917
"108",37081016503,44091,39954,50938,53065,41739
"109",37081016505,67813,60565,61563,63073,47382
"110",37081016506,77458,79409,80718,67500,61852
"111",37081016600,51806,51014,62596,73615,73299
"112",37081016701,38851,48352,42527,41435,41857
"113",37081016702,44229,44000,58102,41167,51389
"114",37081016800,58995,53824,53173,51136,50617
"115",37081016900,65451,54385,67652,53643,57344
"116",37081017000,59231,60221,60147,55147,76607
"117",37081017100,97569,100590,71700,74013,86250
"118",37081017200,78404,70682,60192,78523,79545
"119",37081980100,NA,NA,NA,NA,NA
