"","id","y_2011","y_2012","y_2013","y_2014","y_2015"
"1",37081010100,25931,24933,24494,25519,24075
"2",37081010200,24539,25163,24728,24306,27197
"3",37081010300,27928,26694,26250,26169,28958
"4",37081010401,55530,55099,54028,52159,48854
"5",37081010403,63427,37952,59643,56650,51205
"6",37081010404,120250,113523,110469,113073,112273
"7",37081010500,58086,60647,55809,54545,52163
"8",37081010601,45369,45854,41477,45511,42177
"9",37081010602,24875,26121,28000,28989,36316
"10",37081010701,41875,37708,41196,31467,39750
"11",37081010702,25041,26152,25475,25104,21214
"12",37081010800,39103,35119,29574,39250,43169
"13",37081010900,25590,23828,22034,23137,25700
"14",37081011000,17933,18506,18164,21786,21696
"15",37081011101,21646,21173,22298,23021,20038
"16",37081011102,30250,30543,28917,29212,29256
"17",37081011200,18008,18494,23611,28935,32055
"18",37081011300,27639,27056,28656,28385,30453
"19",37081011400,14250,12202,11875,11719,12150
"20",37081011500,24375,26010,21301,22235,25446
"21",37081011601,31601,35341,30708,34099,32321
"22",37081011602,27847,30674,34406,34881,40793
"23",37081011904,28079,27277,31238,31353,34115
"24",37081011905,39558,39063,31331,26453,26964
"25",37081012503,59293,56809,53932,53144,51297
"26",37081012504,32785,34413,34941,35132,36305
"27",37081012505,90900,102500,97143,95529,97016
"28",37081012508,54755,52883,48929,49201,45652
"29",37081012509,72500,70583,75577,82417,81944
"30",37081012510,105385,99095,100000,100905,107875
"31",37081012511,89803,90708,95662,88319,96250
"32",37081012601,32204,31609,31170,30043,30681
"33",37081012604,33798,33333,37664,38750,39775
"34",37081012607,64115,64643,62202,56971,51652
"35",37081012608,30116,27230,30556,27561,26120
"36",37081012609,34494,35154,32587,35952,36066
"37",37081012610,37161,46168,45873,46601,50489
"38",37081012611,27243,31523,28594,28273,29593
"39",37081012612,33043,35799,35379,32031,36059
"40",37081012617,44700,43536,41652,41208,41875
"41",37081012703,39635,46656,46816,44456,51989
"42",37081012704,26854,27898,29801,27629,27042
"43",37081012705,37413,27178,25428,28313,27384
"44",37081012706,27689,24747,20963,20186,21040
"45",37081012707,24444,23164,23155,20125,22180
"46",37081012803,44288,44392,44121,43750,46053
"47",37081012804,38819,37500,34944,40516,40221
"48",37081012805,33776,34866,33750,35735,43845
"49",37081013601,30758,32703,31389,30652,30573
"50",37081013602,39934,40750,40668,38409,38942
"51",37081013700,55682,63716,65169,54792,54659
"52",37081013800,16462,16422,17145,23947,23842
"53",37081013900,10975,12724,12613,12883,14196
"54",37081014000,26441,28832,25897,23545,24275
"55",37081014200,23973,23502,24167,24242,23116
"56",37081014300,14516,13949,14701,16857,20766
"57",37081014406,42382,42723,41012,41012,40578
"58",37081014407,47364,48972,48269,50560,49063
"59",37081014408,37568,31806,29571,30341,28958
"60",37081014409,43807,41274,29492,32981,34457
"61",37081014410,34941,36807,35328,37442,37452
"62",37081014411,34244,34680,33106,35055,34814
"63",37081014412,54750,59596,48388,49245,49145
"64",37081014501,18843,20357,25068,21534,30000
"65",37081014502,29265,27834,29442,27472,27048
"66",37081014503,28950,26821,24398,25625,23884
"67",37081015100,47153,49112,42556,45158,47011
"68",37081015200,47800,51977,49642,48333,49602
"69",37081015300,57303,56485,56546,54676,57484
"70",37081015401,63817,65833,65985,59583,54182
"71",37081015402,36750,34240,29718,31087,31950
"72",37081015500,44474,41139,42813,44115,43679
"73",37081015600,75423,69758,71775,72043,82280
"74",37081015703,49125,52217,52607,56907,60152
"75",37081015704,68689,64014,62417,62643,49356
"76",37081015705,44424,38468,34240,34322,35561
"77",37081015706,79286,83594,99663,95875,108611
"78",37081015707,49885,51958,54983,54880,62820
"79",37081015800,92949,99769,96285,96629,95408
"80",37081015901,66591,65668,66818,65135,68229
"81",37081015902,99100,92928,84414,95798,96682
"82",37081016003,84375,86538,84868,96250,103698
"83",37081016005,100526,100481,82313,82656,82546
"84",37081016006,58804,68333,57778,55324,55156
"85",37081016007,57435,57516,60706,60302,49570
"86",37081016008,76406,73715,70943,71713,69375
"87",37081016009,84400,83425,82995,79621,78287
"88",37081016010,53065,51480,49527,44785,44149
"89",37081016011,38057,40000,40336,40948,41084
"90",37081016101,56864,59477,51809,52128,54640
"91",37081016102,33438,33889,32133,33324,35954
"92",37081016103,44257,41262,46081,45057,35713
"93",37081016201,93141,94148,93793,92379,91940
"94",37081016203,78125,75132,69174,72652,70109
"95",37081016204,83632,88397,88750,88800,96500
"96",37081016205,64330,65162,56649,60278,66176
"97",37081016303,61964,63699,63654,70019,64271
"98",37081016304,98448,91433,90605,93164,91146
"99",37081016305,93529,90553,87561,82683,82763
"100",37081016306,54494,55696,54833,53444,52591
"101",37081016405,39038,40164,40379,43958,43983
"102",37081016406,53297,54959,53785,52917,55861
"103",37081016407,78839,76855,80000,79207,80521
"104",37081016408,92375,93243,85742,88992,95625
"105",37081016409,84714,85982,83375,81250,72569
"106",37081016410,51500,52474,56854,50037,50000
"107",37081016502,85357,87467,88162,85938,87632
"108",37081016503,51866,48973,48438,50263,50124
"109",37081016505,68566,61033,62564,64599,62746
"110",37081016506,80028,78869,71310,65962,67335
"111",37081016600,42216,45301,48942,49727,63682
"112",37081016701,37516,40827,41651,41771,42218
"113",37081016702,55000,55915,56042,42576,41343
"114",37081016800,48997,51148,50405,47685,45525
"115",37081016900,55689,53113,50260,48958,49821
"116",37081017000,51617,53159,51298,47076,50960
"117",37081017100,70185,68914,68118,68151,67659
"118",37081017200,61812,56437,57179,59816,57436
"119",37081980100,NA,NA,NA,NA,NA
