"","id","y_2011","y_2012","y_2013","y_2014","y_2015"
"1",37081010100,36316,37045,37361,24659,23068
"2",37081010200,29196,28750,34750,39306,38125
"3",37081010300,26921,32742,25200,20000,24922
"4",37081010401,58214,56974,58232,54125,50469
"5",37081010403,62581,38298,61389,60664,50536
"6",37081010404,123287,114063,104583,113698,113917
"7",37081010500,60116,61638,62872,67917,62539
"8",37081010601,46915,50978,46108,48682,47724
"9",37081010602,32623,27704,29426,28956,34713
"10",37081010701,46364,41875,44922,40875,45726
"11",37081010702,25143,27129,26426,27118,22071
"12",37081010800,52716,53783,54257,58450,60972
"13",37081010900,41893,51607,47344,44491,38409
"14",37081011000,NA,NA,NA,NA,NA
"15",37081011101,23173,22273,30313,27813,NA
"16",37081011102,NA,NA,NA,NA,NA
"17",37081011200,29688,45757,57417,50897,70179
"18",37081011300,19318,20962,20583,21979,NA
"19",37081011400,21500,13417,12688,13796,29844
"20",37081011500,23594,22350,21875,20189,25021
"21",37081011601,29671,35260,21944,33295,33167
"22",37081011602,31579,31801,37923,40769,41821
"23",37081011904,35994,35141,30820,31042,31755
"24",37081011905,38560,38516,38625,34750,37991
"25",37081012503,59239,62625,59018,58918,57788
"26",37081012504,38818,38375,39583,39186,41635
"27",37081012505,97277,105441,103750,102614,101618
"28",37081012508,54755,52551,49107,50710,49559
"29",37081012509,72917,71750,76490,82935,83173
"30",37081012510,104167,97411,99735,99000,106379
"31",37081012511,92535,90292,95974,89009,97820
"32",37081012601,34075,32848,33291,34019,33528
"33",37081012604,32500,31589,35833,40565,53250
"34",37081012607,69559,73182,73802,69609,62083
"35",37081012608,30690,30640,31740,32794,27179
"36",37081012609,34606,37067,34195,42100,49135
"37",37081012610,31466,41818,46852,40694,46184
"38",37081012611,40602,40833,32097,30625,24583
"39",37081012612,27969,31026,31593,33333,40667
"40",37081012617,48412,44000,41467,25568,34038
"41",37081012703,63710,64333,76875,65042,75441
"42",37081012704,27121,32436,37375,34948,34958
"43",37081012705,15278,19688,17857,18000,18077
"44",37081012706,13750,14250,13750,14350,22950
"45",37081012707,20278,19900,20938,18472,19048
"46",37081012803,60021,43722,35679,33289,34101
"47",37081012804,19306,35417,32083,32083,28750
"48",37081012805,26538,28594,24212,33750,24489
"49",37081013601,42813,30435,31667,31635,35000
"50",37081013602,41766,42292,42455,44476,44760
"51",37081013700,59712,66786,68657,65243,65673
"52",37081013800,12292,16700,15800,17347,25066
"53",37081013900,10400,14063,14531,18250,21750
"54",37081014000,29186,28586,27633,25913,27566
"55",37081014200,29667,31000,29479,27760,25913
"56",37081014300,16285,16546,16395,24688,27866
"57",37081014406,55406,44130,53500,25625,26250
"58",37081014407,47542,51310,56028,64315,57104
"59",37081014408,39508,37700,31771,31875,31902
"60",37081014409,45765,42537,36806,34904,38879
"61",37081014410,37049,37321,35625,37095,37334
"62",37081014411,28864,31719,35143,42619,32125
"63",37081014412,58333,61844,54583,54063,55139
"64",37081014501,20972,22438,24773,21058,30069
"65",37081014502,32776,28250,30257,27177,25020
"66",37081014503,24853,25446,18640,18107,18375
"67",37081015100,42841,48783,40909,41776,52644
"68",37081015200,46881,53076,48147,49651,53023
"69",37081015300,57124,57169,56842,56328,58427
"70",37081015401,56750,57159,47802,47740,49863
"71",37081015402,45861,45977,45833,41537,42250
"72",37081015500,41625,42361,41250,42011,43207
"73",37081015600,76375,72083,77250,77578,88333
"74",37081015703,54693,55046,57348,60377,62672
"75",37081015704,69339,64851,66618,68875,62719
"76",37081015705,47750,41455,36641,35396,36675
"77",37081015706,126182,119018,113955,111830,119327
"78",37081015707,61977,65924,68108,63074,70139
"79",37081015800,94679,101154,95068,95529,91886
"80",37081015901,66250,66010,69107,68154,68542
"81",37081015902,99550,93553,88512,95745,96705
"82",37081016003,87633,88587,86345,100483,102156
"83",37081016005,102007,99561,81594,80625,84545
"84",37081016006,68281,67821,60000,62500,60286
"85",37081016007,57819,59335,62003,62143,70842
"86",37081016008,74302,71658,71311,73977,73854
"87",37081016009,82850,83673,81938,78220,74196
"88",37081016010,54496,55481,55125,48043,47120
"89",37081016011,35238,40309,41396,42967,44595
"90",37081016101,55677,59688,50000,51557,55430
"91",37081016102,43315,41750,39485,42500,49306
"92",37081016103,44842,43315,46429,47486,44779
"93",37081016201,92981,88875,92344,88656,84050
"94",37081016203,78497,74720,70406,73241,70000
"95",37081016204,80250,80625,83068,86667,96028
"96",37081016205,65744,71667,67952,66783,69136
"97",37081016303,61875,65417,69278,71884,65964
"98",37081016304,102083,93611,91250,93203,93313
"99",37081016305,94559,91563,87988,85200,84211
"100",37081016306,58382,56708,54940,53112,46319
"101",37081016405,42650,46923,41382,51450,50781
"102",37081016406,54783,60885,55273,53554,54063
"103",37081016407,94375,83689,88267,87159,89695
"104",37081016408,92857,93986,93864,94653,94688
"105",37081016409,89567,93750,87961,86213,81364
"106",37081016410,62292,62941,62095,59013,58654
"107",37081016502,85848,87317,90369,84625,91761
"108",37081016503,60369,50812,49554,48250,44973
"109",37081016505,73611,61840,64706,65603,65818
"110",37081016506,87946,86140,73673,69375,63389
"111",37081016600,39550,44643,43920,49297,64015
"112",37081016701,41270,40976,43995,42813,43495
"113",37081016702,55666,56860,57292,42281,41435
"114",37081016800,51735,52147,47264,46105,43558
"115",37081016900,61818,56509,51667,51225,50694
"116",37081017000,52029,53190,51082,46757,50272
"117",37081017100,69079,68279,68132,69040,65962
"118",37081017200,56828,54220,54275,55355,52432
"119",37081980100,NA,NA,NA,NA,NA
