id,y_2015
37081010100,512890
37081010200,39420575
37081010300,25530587
37081010401,4712868
37081010403,7426667
37081010404,14685432
37081010500,29791758
37081010601,1932285
37081010602,4889091
37081010701,2915345
37081010702,2121516
37081010800,91602495
37081010900,5772414
37081011000,3310448
37081011101,2694844
37081011102,9159310
37081011200,1505447
37081011300,25808773
37081011400,8907421
37081011500,35878752
37081011601,6076213
37081011602,26142499
37081011904,6190353
37081011905,1444369
37081012503,6289753
37081012504,3158459
37081012505,7067838
37081012508,31516485
37081012509,14134820
37081012510,8813482
37081012511,7346977
37081012601,18723286
37081012604,2168124
37081012607,8610234
37081012608,11015677
37081012609,11587744
37081012610,23404710
37081012611,656599
37081012612,623141
37081012617,5783352
37081012703,18182482
37081012704,489210
37081012705,14459750
37081012706,9879699
37081012707,2032094
37081012803,32564040
37081012804,2814071
37081012805,10677422
37081015100,27029207
37081015300,15585806
37081015401,1616500
37081015402,31583003
37081015500,29715794
37081015703,25887757
37081015704,4619060
37081015705,4307282
37081015706,39940541
37081015707,2146284
37081016003,3368000
37081016005,880983
37081016006,46742816
37081016007,3988460
37081016008,16073955
37081016009,3819922
37081016010,2765975
37081016011,20968646
37081016101,5948365
37081016102,37622685
37081016103,2796822
37081016201,43871882
37081016204,30064289
37081016405,12344468
37081016502,13266494
37081016503,43478357
37081016505,2695457
37081016506,1936498
37081016701,13548409
37081016800,24051717
37081017100,5177202
37081017200,28275486
37081980100,173200
